X_id,YEAR.BUILT,YEAR.EVALUATED,AGE,CURRENT.BUILDING.EVAL.SCORE
561,1964,2023,59,93
562,1954,2023,69,77
563,1954,2023,69,81
564,1960,2023,63,89
565,1954,2023,69,83
566,1964,2023,59,90
567,1987,2023,36,87
568,1954,2023,69,91
569,1966,2023,57,83
570,1958,2023,65,96
571,1966,2023,57,98
572,1963,2023,60,100
573,1961,2023,62,84
574,1959,2023,64,94
575,1964,2023,59,69
576,1964,2023,59,98
577,1971,2023,52,77
578,1971,2023,52,77
579,1960,2023,63,87
580,1960,2023,63,86
581,1967,2023,56,87
582,1965,2023,58,91
583,1965,2023,58,100
584,1970,2023,53,83
585,1960,2023,63,74
586,1966,2023,57,82
587,1961,2023,62,74
588,1958,2023,65,84
589,1964,2023,59,87
590,1963,2023,60,87
591,1968,2023,55,95
592,1968,2023,55,94
593,1971,2023,52,94
594,1971,2023,52,94
595,1957,2023,66,80
596,1956,2023,67,80
597,1956,2023,67,89
598,1952,2023,71,90
599,1952,2023,71,90
600,1968,2023,55,91
601,1970,2023,53,88
602,1968,2023,55,89
603,1953,2023,70,98
604,1964,2023,59,88
605,1937,2023,86,78
606,1926,2023,97,92
607,1938,2023,85,79
608,1970,2023,53,92
609,1959,2023,64,86
610,1920,2023,103,89
611,1969,2023,54,100
612,1930,2023,93,69
613,1920,2023,103,91
614,1986,2023,37,94
615,1929,2023,94,71
616,1929,2023,94,85
617,1930,2023,93,88
618,1930,2023,93,89
619,1951,2023,72,67
620,1968,2023,55,91
621,1967,2023,56,64
622,1967,2023,56,85
623,1964,2023,59,85
624,1964,2023,59,95
625,1968,2023,55,80
626,1960,2023,63,94
627,1967,2023,56,80
628,1968,2023,55,63
629,1969,2023,54,87
630,1958,2023,65,86
631,1971,2023,52,76
632,1967,2023,56,88
633,1927,2023,96,93
634,1994,2023,29,84
635,1920,2023,103,86
636,2017,2023,6,100
637,1953,2023,70,83
638,1953,2023,70,96
639,1959,2023,64,88
640,1970,2023,53,96
641,1972,2023,51,92
642,1966,2023,57,84
643,1955,2023,68,96
644,1960,2023,63,86
645,1954,2023,69,94
646,1954,2023,69,99
647,1960,2023,63,95
648,1960,2023,63,94
649,1963,2023,60,84
650,1967,2023,56,92
651,1974,2023,49,91
652,2006,2023,17,81
653,1948,2023,75,81
654,1952,2023,71,87
655,2012,2023,11,100
656,1950,2023,73,79
657,1965,2023,58,88
658,1950,2023,73,91
659,1960,2023,63,83
660,1970,2023,53,96
661,1968,2023,55,91
662,1970,2023,53,89
663,1931,2023,92,99
664,1950,2023,73,90
665,1989,2023,34,91
666,1960,2023,63,96
667,1960,2023,63,93
668,1963,2023,60,92
669,1962,2023,61,84
670,1966,2023,57,91
671,1983,2023,40,91
672,1997,2023,26,87
673,1993,2023,30,89
674,2006,2023,17,92
675,1961,2023,62,91
676,1966,2023,57,95
677,1977,2023,46,78
678,1962,2023,61,88
679,1952,2023,71,89
680,1955,2023,68,89
681,1970,2023,53,82
682,1963,2023,60,90
683,1993,2023,30,98
684,1970,2023,53,84
685,1968,2023,55,87
686,1970,2023,53,95
687,1950,2023,73,77
688,1962,2023,61,95
689,1960,2023,63,88
690,1970,2023,53,88
691,1962,2023,61,91
692,1970,2023,53,96
693,1962,2023,61,85
694,1962,2023,61,78
695,1970,2023,53,89
696,1970,2023,53,88
697,2016,2023,7,98
698,1985,2023,38,89
699,1959,2023,64,90
700,1975,2023,48,75
701,1960,2023,63,97
702,1964,2023,59,74
